title,main_genre,main_company,budget,revenue,profit,runtime,original_language,vote_average,release_date,popularity,profit_category,budget_category,roi
Iron Man 3,Action,Marvel Studios,200000000,1215439994,1015439994,130.0,en,6.8,2013-04-18,77.68208,High Profit,High Budget,6.07719997
Alice in Wonderland,Family,Walt Disney Pictures,200000000,1025491110,825491110,108.0,en,6.4,2010-03-03,78.530105,High Profit,High Budget,5.12745555
X-Men: The Last Stand,Adventure,Ingenious Film Partners,210000000,459359555,249359555,104.0,en,6.3,2006-05-24,3.857526,High Profit,High Budget,2.1874264523809526
Monsters University,Animation,Walt Disney Pictures,200000000,743559607,543559607,104.0,en,7.0,2013-06-20,89.186492,High Profit,High Budget,3.717798035
Transformers: Revenge of the Fallen,Science Fiction,Paramount Pictures,150000000,836297228,686297228,150.0,en,6.0,2009-06-19,21.939663,High Profit,High Budget,5.575314853333333
Transformers: Age of Extinction,Science Fiction,Paramount Pictures,210000000,1091405097,881405097,165.0,en,5.8,2014-06-25,116.840296,High Profit,High Budget,5.1971671285714285
Oz: The Great and Powerful,Fantasy,Walt Disney Pictures,200000000,491868548,291868548,130.0,en,5.7,2013-03-07,46.985445,High Profit,High Budget,2.45934274
The Amazing Spider-Man 2,Action,Columbia Pictures,200000000,705717432,505717432,142.0,en,6.5,2014-04-16,89.270217,High Profit,High Budget,3.52858716
TRON: Legacy,Adventure,Walt Disney Pictures,170000000,400062763,230062763,125.0,en,6.3,2010-12-10,73.79505,High Profit,High Budget,2.3533103705882352
Cars 2,Animation,Walt Disney Pictures,200000000,559852396,359852396,106.0,en,5.8,2011-06-11,49.98659,High Profit,High Budget,2.79926198
Green Lantern,Adventure,De Line Pictures,200000000,219851172,19851172,114.0,en,5.1,2011-06-16,51.872839,Medium Profit,High Budget,1.09925586
Toy Story 3,Animation,Walt Disney Pictures,200000000,1066969703,866969703,103.0,en,7.6,2010-06-16,59.995418,High Profit,High Budget,5.334848515
Terminator Salvation,Action,Columbia Pictures,200000000,371353001,171353001,115.0,en,5.9,2009-05-20,71.862892,High Profit,High Budget,1.856765005
Furious 7,Action,Universal Pictures,190000000,1506249360,1316249360,137.0,en,7.3,2015-04-01,102.322217,High Profit,High Budget,7.927628210526316
World War Z,Action,Paramount Pictures,200000000,531865000,331865000,116.0,en,6.7,2013-06-20,81.834855,High Profit,High Budget,2.659325
X-Men: Days of Future Past,Action,Twentieth Century Fox Film Corporation,250000000,747862775,497862775,131.0,en,7.5,2014-05-15,118.078691,High Profit,High Budget,2.9914511
Star Trek Into Darkness,Action,Paramount Pictures,190000000,467365246,277365246,132.0,en,7.4,2013-05-05,78.291018,High Profit,High Budget,2.4598170842105263
Jack the Giant Slayer,Action,New Line Cinema,195000000,197687603,2687603,114.0,en,5.5,2013-02-27,43.349855,Medium Profit,High Budget,1.0137825794871795
The Great Gatsby,Drama,Village Roadshow Pictures,105000000,351040419,246040419,143.0,en,7.3,2013-05-10,61.196071,High Profit,High Budget,3.3432420857142855
Prince of Persia: The Sands of Time,Adventure,Walt Disney Pictures,150000000,335154643,185154643,116.0,en,6.2,2010-05-19,62.169881,High Profit,High Budget,2.2343642866666666
Pacific Rim,Action,Legendary Pictures,180000000,407602906,227602906,131.0,en,6.7,2013-07-11,56.523205,High Profit,High Budget,2.264460588888889
Transformers: Dark of the Moon,Action,Paramount Pictures,195000000,1123746996,928746996,154.0,en,6.1,2011-06-28,28.529607,High Profit,High Budget,5.762805107692308
Indiana Jones and the Kingdom of the Crystal Skull,Adventure,Lucasfilm,185000000,786636033,601636033,122.0,en,5.7,2008-05-21,75.674458,High Profit,High Budget,4.252086664864865
The Good Dinosaur,Adventure,Walt Disney Pictures,175000000,331926147,156926147,93.0,en,6.6,2015-11-14,51.692953,High Profit,High Budget,1.89672084
Brave,Animation,Walt Disney Pictures,185000000,538983207,353983207,93.0,en,6.7,2012-06-21,125.114374,High Profit,High Budget,2.9134227405405406
Star Trek Beyond,Action,Paramount Pictures,185000000,343471816,158471816,122.0,en,6.6,2016-07-07,65.352913,High Profit,High Budget,1.8566044108108108
WALL·E,Animation,Walt Disney Pictures,180000000,521311860,341311860,98.0,en,7.8,2008-06-22,66.390712,High Profit,High Budget,2.896177
Rush Hour 3,Action,New Line Cinema,140000000,258022233,118022233,91.0,en,6.1,2007-08-08,22.57178,High Profit,High Budget,1.84301595
2012,Action,Columbia Pictures,200000000,769653595,569653595,158.0,en,5.6,2009-10-10,45.274225,High Profit,High Budget,3.848267975
A Christmas Carol,Animation,Walt Disney,200000000,325233863,125233863,96.0,en,6.6,2009-11-04,39.744242,High Profit,High Budget,1.626169315
Jupiter Ascending,Science Fiction,Village Roadshow Pictures,176000003,183987723,7987720,124.0,en,5.2,2015-02-04,85.36908,Medium Profit,High Budget,1.0453847719536686
The Legend of Tarzan,Action,Village Roadshow Pictures,180000000,356743061,176743061,109.0,en,5.5,2016-06-29,42.741719,High Profit,High Budget,1.9819058944444445
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure,Walt Disney,180000000,748806957,568806957,143.0,en,6.7,2005-12-07,67.391328,High Profit,High Budget,4.16003865
X-Men: Apocalypse,Science Fiction,Twentieth Century Fox Film Corporation,178000000,543934787,365934787,144.0,en,6.4,2016-05-18,139.272042,High Profit,High Budget,3.0558134101123597
The Dark Knight,Drama,DC Comics,185000000,1004558444,819558444,152.0,en,8.2,2008-07-16,187.322927,High Profit,High Budget,5.430045643243243
Up,Animation,Pixar Animation Studios,175000000,735099082,560099082,96.0,en,7.7,2009-05-13,92.201962,High Profit,High Budget,4.200566182857143
Monsters vs Aliens,Animation,DreamWorks Animation,175000000,381509870,206509870,94.0,en,6.0,2009-03-19,36.167578,High Profit,High Budget,2.1800564
Iron Man,Action,Marvel Studios,140000000,585174222,445174222,126.0,en,7.4,2008-04-30,120.725053,High Profit,High Budget,4.179815871428572
Hugo,Adventure,Paramount Pictures,170000000,185770160,15770160,126.0,en,7.0,2011-11-22,32.319043,Medium Profit,High Budget,1.0927656470588236
Wild Wild West,Action,"Todman, Simon, LeMasters Productions",170000000,222104681,52104681,106.0,en,5.1,1999-06-29,40.748915,Medium Profit,High Budget,1.3064981235294117
The Mummy: Tomb of the Dragon Emperor,Adventure,Universal Pictures,145000000,401128639,256128639,112.0,en,5.2,2008-07-01,60.034162,High Profit,High Budget,2.7664044068965516
Suicide Squad,Action,DC Comics,175000000,745000000,570000000,123.0,en,5.9,2016-08-02,90.23792,High Profit,High Budget,4.257142857142857
Evan Almighty,Fantasy,Columbia Pictures,175000000,173000000,-2000000,96.0,en,5.3,2007-06-09,27.082182,Loss,High Budget,0.9885714285714285
Edge of Tomorrow,Action,Village Roadshow Pictures,178000000,370541256,192541256,113.0,en,7.6,2014-05-27,79.456485,High Profit,High Budget,2.081692449438202
Waterworld,Adventure,Universal Pictures,175000000,264218220,89218220,135.0,en,5.9,1995-07-28,44.640292,Medium Profit,High Budget,1.5098184
G.I. Joe: The Rise of Cobra,Adventure,Paramount Pictures,175000000,302469017,127469017,118.0,en,5.6,2009-08-04,32.852443,High Profit,High Budget,1.7283943828571429
Inside Out,Drama,Walt Disney Pictures,175000000,857611174,682611174,94.0,en,8.0,2015-06-09,128.655964,High Profit,High Budget,4.90063528
The Jungle Book,Family,Walt Disney Pictures,175000000,966550600,791550600,106.0,en,6.7,2016-04-07,94.199316,High Profit,High Budget,5.523146285714286
Iron Man 2,Adventure,Marvel Studios,200000000,623933331,423933331,124.0,en,6.6,2010-04-28,77.300194,High Profit,High Budget,3.119666655
Snow White and the Huntsman,Adventure,Universal Pictures,170000000,396600000,226600000,127.0,en,5.8,2012-05-30,77.178973,High Profit,High Budget,2.3329411764705883
Maleficent,Fantasy,Walt Disney Pictures,180000000,758539785,578539785,97.0,en,7.0,2014-05-28,110.620647,High Profit,High Budget,4.214109916666667
Dawn of the Planet of the Apes,Science Fiction,Ingenious Media,170000000,710644566,540644566,130.0,en,7.3,2014-06-26,243.791743,High Profit,High Budget,4.180262152941176
47 Ronin,Drama,Mid Atlantic Films,175000000,150962475,-24037525,119.0,en,5.9,2013-12-06,41.796339,Loss,High Budget,0.8626427142857143
Captain America: The Winter Soldier,Action,Marvel Studios,170000000,714766572,544766572,136.0,en,7.6,2014-03-20,72.225265,High Profit,High Budget,4.204509247058824
Shrek Forever After,Comedy,DreamWorks Animation,165000000,752600867,587600867,93.0,en,6.0,2010-05-16,44.041186,High Profit,High Budget,4.561217375757575
Tomorrowland,Adventure,Walt Disney Pictures,190000000,209154322,19154322,130.0,en,6.2,2015-05-19,130.311355,Medium Profit,High Budget,1.1008122210526317
Big Hero 6,Adventure,Walt Disney Pictures,165000000,652105443,487105443,102.0,en,7.8,2014-10-24,203.73459,High Profit,High Budget,3.9521542
Wreck-It Ralph,Family,Walt Disney Animation Studios,165000000,471222889,306222889,108.0,en,7.1,2012-11-01,62.341073,High Profit,High Budget,2.855896296969697
The Polar Express,Adventure,Golden Mean,165000000,305875730,140875730,100.0,en,6.4,2004-11-10,47.323228,High Profit,High Budget,1.853792303030303
Independence Day: Resurgence,Action,Twentieth Century Fox Film Corporation,165000000,389681935,224681935,120.0,en,4.9,2016-06-22,48.775723,High Profit,High Budget,2.3617086969696968
How to Train Your Dragon,Fantasy,DreamWorks Animation,165000000,494878759,329878759,98.0,en,7.5,2010-03-05,67.263269,High Profit,High Budget,2.999265206060606
Terminator 3: Rise of the Machines,Action,Columbia Pictures,200000000,435000000,235000000,109.0,en,5.9,2003-07-02,69.405188,High Profit,High Budget,2.175
Guardians of the Galaxy,Action,Marvel Studios,170000000,773328629,603328629,121.0,en,7.9,2014-07-30,481.098624,High Profit,High Budget,4.548991935294118
Interstellar,Adventure,Paramount Pictures,165000000,675120017,510120017,169.0,en,8.1,2014-11-05,724.247784,High Profit,High Budget,4.0916364666666665
Inception,Action,Legendary Pictures,160000000,825532764,665532764,148.0,en,8.1,2010-07-14,167.58371,High Profit,High Budget,5.159579775
Shin Godzilla,Action,Cine Bazar,15000000,77000000,62000000,120.0,ja,6.5,2016-07-29,9.476999,Medium Profit,Low Budget,5.133333333333334
The Hobbit: An Unexpected Journey,Adventure,WingNut Films,250000000,1021103568,771103568,169.0,en,7.0,2012-11-26,108.849621,High Profit,High Budget,4.084414272
The Fast and the Furious,Action,Universal Pictures,38000000,207283925,169283925,106.0,en,6.6,2001-06-22,6.909942,High Profit,Medium Budget,5.454840131578948
The Curious Case of Benjamin Button,Fantasy,Paramount Pictures,150000000,333932083,183932083,166.0,en,7.3,2008-11-24,60.269279,High Profit,High Budget,2.2262138866666668
X-Men: First Class,Action,Ingenious Film Partners,160000000,353624124,193624124,132.0,en,7.1,2011-05-24,3.195174,High Profit,High Budget,2.210150775
The Hunger Games: Mockingjay - Part 2,Action,Studio Babelsberg,160000000,653428261,493428261,137.0,en,6.6,2015-11-18,127.284427,High Profit,High Budget,4.08392663125
The Sorcerer's Apprentice,Fantasy,Walt Disney Pictures,150000000,215283742,65283742,109.0,en,5.8,2010-07-13,35.580815,Medium Profit,High Budget,1.4352249466666667
Poseidon,Adventure,Virtual Studios,160000000,181674817,21674817,99.0,en,5.5,2006-05-12,21.133748,Medium Profit,High Budget,1.13546760625
Alice Through the Looking Glass,Fantasy,Walt Disney Pictures,170000000,299370084,129370084,113.0,en,6.5,2016-05-25,56.268916,High Profit,High Budget,1.7610004941176471
Shrek the Third,Fantasy,DreamWorks SKG,160000000,798958165,638958165,93.0,en,6.0,2007-05-17,42.986467,High Profit,High Budget,4.99348853125
Warcraft,Action,Universal Pictures,160000000,433677183,273677183,123.0,en,6.3,2016-05-25,63.148529,High Profit,High Budget,2.71048239375
Terminator Genisys,Science Fiction,Paramount Pictures,155000000,440603537,285603537,126.0,en,5.8,2015-06-23,202.042635,High Profit,High Budget,2.842603464516129
The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure,Dune Entertainment,155000000,415686217,260686217,113.0,en,6.2,2010-08-13,49.661984,High Profit,High Budget,2.6818465612903224
Pearl Harbor,History,Jerry Bruckheimer Films,140000000,449220945,309220945,183.0,en,6.6,2001-05-21,34.20669,High Profit,High Budget,3.208721035714286
Transformers,Adventure,Paramount Pictures,150000000,709709780,559709780,144.0,en,6.6,2007-06-27,25.468493,High Profit,High Budget,4.7313985333333335
Alexander,War,France 3 Cinéma,155000000,167298192,12298192,175.0,en,5.6,2004-11-21,39.019229,Medium Profit,High Budget,1.0793431741935484
Harry Potter and the Order of the Phoenix,Adventure,Warner Bros.,150000000,938212738,788212738,138.0,en,7.4,2007-06-28,78.144395,High Profit,High Budget,6.254751586666667
Harry Potter and the Goblet of Fire,Adventure,Patalex IV Productions Limited,150000000,895921036,745921036,157.0,en,7.5,2005-11-05,101.250416,High Profit,High Budget,5.9728069066666665
Hancock,Fantasy,Columbia Pictures,150000000,624029371,474029371,92.0,en,6.2,2008-07-01,56.758411,High Profit,High Budget,4.160195806666667
I Am Legend,Drama,Village Roadshow Pictures,150000000,585349010,435349010,101.0,en,6.9,2007-12-14,70.867401,High Profit,High Budget,3.902326733333333
Charlie and the Chocolate Factory,Adventure,Village Roadshow Pictures,150000000,474968763,324968763,115.0,en,6.7,2005-07-13,53.905592,High Profit,High Budget,3.16645842
Ratatouille,Animation,Walt Disney Pictures,150000000,623722818,473722818,111.0,en,7.5,2007-06-22,65.677399,High Profit,High Budget,4.15815212
Batman Begins,Action,DC Comics,150000000,374218673,224218673,140.0,en,7.5,2005-06-10,115.040024,High Profit,High Budget,2.4947911533333333
Madagascar: Escape 2 Africa,Family,DreamWorks Animation,150000000,603900354,453900354,89.0,en,6.2,2008-10-30,44.141021,High Profit,High Budget,4.02600236
Night at the Museum: Battle of the Smithsonian,Adventure,Twentieth Century Fox Film Corporation,150000000,413106170,263106170,105.0,en,5.9,2009-05-20,81.781591,High Profit,High Budget,2.7540411333333332
X-Men Origins: Wolverine,Adventure,Ingenious Film Partners,150000000,373062864,223062864,107.0,en,6.2,2009-04-28,5.954334,High Profit,High Budget,2.48708576
The Matrix Revolutions,Adventure,Village Roadshow Pictures,150000000,424988211,274988211,129.0,en,6.4,2003-11-05,73.313918,High Profit,High Budget,2.83325474
Frozen,Animation,Walt Disney Pictures,150000000,1274219009,1124219009,102.0,en,7.3,2013-11-27,165.125366,High Profit,High Budget,8.494793393333333
The Matrix Reloaded,Adventure,Village Roadshow Pictures,150000000,738599701,588599701,138.0,en,6.7,2003-05-15,70.78591,High Profit,High Budget,4.923998006666666
Thor: The Dark World,Action,Marvel Studios,170000000,644571402,474571402,112.0,en,6.8,2013-10-29,99.499595,High Profit,High Budget,3.7915964823529413
Mad Max: Fury Road,Action,Village Roadshow Pictures,150000000,378858340,228858340,120.0,en,7.2,2015-05-13,434.278564,High Profit,High Budget,2.5257222666666665
Angels & Demons,Thriller,Columbia Pictures,150000000,356613439,206613439,138.0,en,6.5,2009-05-13,67.447636,High Profit,High Budget,2.3774229266666667
Thor,Adventure,Marvel Studios,150000000,449326618,299326618,115.0,en,6.6,2011-04-21,86.493424,High Profit,High Budget,2.995510786666667
Bolt,Animation,Walt Disney Animation Studios,150000000,309979994,159979994,98.0,en,6.3,2008-11-21,41.845878,High Profit,High Budget,2.0665332933333334
G-Force,Fantasy,Walt Disney Pictures,150000000,292817841,142817841,88.0,en,5.1,2009-07-21,26.710398,High Profit,High Budget,1.95211894
Wrath of the Titans,Adventure,Legendary Pictures,150000000,301000000,151000000,99.0,en,5.5,2012-03-27,44.927635,High Profit,High Budget,2.006666666666667
Dark Shadows,Comedy,Village Roadshow Pictures,150000000,245527149,95527149,113.0,en,5.7,2012-05-08,50.306728,Medium Profit,High Budget,1.63684766
Mission: Impossible - Rogue Nation,Action,Paramount Pictures,150000000,682330139,532330139,131.0,en,7.1,2015-07-23,114.522237,High Profit,High Budget,4.548867593333333
Bee Movie,Family,Pacific Data Images (PDI),150000000,287594577,137594577,91.0,en,5.7,2007-10-28,29.332905,High Profit,High Budget,1.91729718
Kung Fu Panda 2,Animation,DreamWorks Animation,150000000,665692281,515692281,91.0,en,6.7,2011-05-25,51.247321,High Profit,High Budget,4.43794854
The Last Airbender,Action,Paramount Pictures,150000000,318502923,168502923,103.0,en,4.7,2010-06-30,33.769336,High Profit,High Budget,2.12335282
Mission: Impossible III,Adventure,Paramount Pictures,150000000,397850012,247850012,126.0,en,6.5,2006-05-03,63.079003,High Profit,High Budget,2.6523334133333334
White House Down,Action,Columbia Pictures,150000000,205366737,55366737,131.0,en,6.4,2013-06-27,39.004588,Medium Profit,High Budget,1.36911158
Mars Needs Moms,Adventure,Walt Disney Animation Studios,150000000,38992758,-111007242,88.0,en,5.5,2011-03-09,12.362599,Loss,High Budget,0.25995172
Flushed Away,Adventure,Aardman Animations,149000000,64459316,-84540684,85.0,en,6.0,2006-10-22,22.550135,Loss,High Budget,0.4326128590604027
Pan,Adventure,Warner Bros.,150000000,128388320,-21611680,111.0,en,5.9,2015-09-24,48.03528,Loss,High Budget,0.8559221333333333
Mr. Peabody & Sherman,Animation,Pacific Data Images (PDI),145000000,272912430,127912430,92.0,en,6.7,2014-02-07,38.73494,High Profit,High Budget,1.8821546896551724
Troy,Adventure,Plan B Entertainment,175000000,497409852,322409852,163.0,en,6.9,2004-05-13,66.803149,High Profit,High Budget,2.8423420114285713
Madagascar 3: Europe's Most Wanted,Animation,DreamWorks Animation,145000000,746921274,601921274,93.0,en,6.4,2012-06-06,44.989192,High Profit,High Budget,5.1511812
Die Another Day,Adventure,Eon Productions,140000000,431971116,291971116,133.0,en,5.8,2002-11-17,54.159392,High Profit,High Budget,3.0855079714285716
Ghostbusters,Action,Columbia Pictures,144000000,229147509,85147509,116.0,en,5.3,2016-07-14,66.21806,Medium Profit,High Budget,1.5913021458333334
Armageddon,Action,Jerry Bruckheimer Films,140000000,553799566,413799566,151.0,en,6.4,1998-07-01,58.485967,High Profit,High Budget,3.9557111857142857
Men in Black II,Action,Columbia Pictures,140000000,441818803,301818803,88.0,en,6.0,2002-07-03,91.332849,High Profit,High Budget,3.1558485928571427
Beowulf,Adventure,Paramount Pictures,70000000,195735876,125735876,115.0,en,5.5,2007-11-05,35.601665,High Profit,Medium Budget,2.7962268
Kung Fu Panda 3,Action,Twentieth Century Fox Film Corporation,145000000,521170825,376170825,95.0,en,6.7,2016-01-23,56.747978,High Profit,High Budget,3.594281551724138
Mission: Impossible - Ghost Protocol,Action,Paramount Pictures,145000000,694713380,549713380,133.0,en,6.8,2011-12-07,77.77477,High Profit,High Budget,4.79112675862069
Rise of the Guardians,Fantasy,DreamWorks Animation,145000000,306941670,161941670,97.0,en,7.1,2012-11-21,61.788035,High Profit,High Budget,2.116839103448276
Fun with Dick and Jane,Comedy,Imagine Entertainment,100000000,202026112,102026112,90.0,en,5.9,2005-12-21,25.159168,High Profit,Medium Budget,2.02026112
The Last Samurai,Drama,Cruise/Wagner Productions,140000000,456758981,316758981,154.0,en,7.3,2003-12-05,52.341226,High Profit,High Budget,3.26256415
Exodus: Gods and Kings,Adventure,Scott Free Productions,140000000,268031828,128031828,150.0,en,5.6,2014-12-03,101.599427,High Profit,High Budget,1.9145130571428572
Star Trek,Science Fiction,Paramount Pictures,150000000,385680446,235680446,127.0,en,7.4,2009-05-06,73.616808,High Profit,High Budget,2.5712029733333335
Spider-Man,Fantasy,Columbia Pictures,139000000,821708551,682708551,121.0,en,6.8,2002-05-01,82.502566,High Profit,High Budget,5.911572309352518
How to Train Your Dragon 2,Fantasy,DreamWorks Animation,145000000,609123048,464123048,102.0,en,7.6,2014-06-12,100.21391,High Profit,High Budget,4.200848606896551
Gods of Egypt,Fantasy,Summit Entertainment,140000000,150680864,10680864,127.0,en,5.3,2016-02-25,56.257249,Medium Profit,High Budget,1.0762918857142858
Stealth,Action,Laura Ziskin Productions,135000000,76932943,-58067057,121.0,en,4.9,2005-07-28,17.88953,Loss,High Budget,0.5698736518518519
Watchmen,Action,Paramount Pictures,130000000,185258983,55258983,163.0,en,7.0,2009-03-05,64.798873,Medium Profit,High Budget,1.4250691
Lethal Weapon 4,Action,Silver Pictures,140000000,285444603,145444603,127.0,en,6.3,1998-07-10,24.855701,High Profit,High Budget,2.0388900214285712
Hulk,Drama,Universal Pictures,137000000,245360480,108360480,138.0,en,5.3,2003-06-19,34.981698,High Profit,High Budget,1.790952408759124
G.I. Joe: Retaliation,Adventure,Paramount Pictures,130000000,371876278,241876278,110.0,en,5.4,2013-03-26,59.325589,High Profit,High Budget,2.860586753846154
Sahara,Action,Paramount Pictures,130000000,119269486,-10730514,124.0,en,5.7,2005-04-06,21.605568,Loss,High Budget,0.9174575846153846
Final Fantasy: The Spirits Within,Adventure,Columbia Pictures,137000000,85131830,-51868170,106.0,en,5.9,2001-07-02,26.074908,Loss,High Budget,0.6214002189781022
Captain America: The First Avenger,Action,Marvel Studios,140000000,370569774,230569774,124.0,en,6.6,2011-07-22,74.506246,High Profit,High Budget,2.646926957142857
The World Is Not Enough,Adventure,Eon Productions,135000000,361832400,226832400,128.0,en,6.0,1999-11-08,39.604363,High Profit,High Budget,2.68024
Master and Commander: The Far Side of the World,Adventure,Universal Pictures,150000000,212011111,62011111,138.0,en,6.9,2003-11-14,36.973031,Medium Profit,High Budget,1.4134074066666666
The Twilight Saga: Breaking Dawn - Part 2,Adventure,Summit Entertainment,120000000,829000000,709000000,115.0,en,6.1,2012-11-13,99.687084,High Profit,High Budget,6.908333333333333
Happy Feet Two,Animation,Village Roadshow Pictures,130000000,150406466,20406466,100.0,en,5.8,2011-11-17,17.7735,Medium Profit,High Budget,1.1569728153846155
The Incredible Hulk,Science Fiction,Universal Pictures,150000000,163712074,13712074,114.0,en,6.1,2008-06-12,62.898336,Medium Profit,High Budget,1.0914138266666666
The BFG,Adventure,Walt Disney Pictures,140000000,183345589,43345589,120.0,en,6.0,2016-06-01,44.19092,Medium Profit,High Budget,1.30961135
The Revenant,Western,Regency Enterprises,135000000,532950503,397950503,156.0,en,7.3,2015-12-25,100.635882,High Profit,High Budget,3.9477815037037036
Turbo,Animation,DreamWorks Animation,135000000,282570682,147570682,96.0,en,6.1,2013-07-11,44.765377,High Profit,High Budget,2.093116162962963
Rango,Animation,Paramount Pictures,135000000,245724603,110724603,107.0,en,6.6,2011-03-02,29.91353,High Profit,High Budget,1.8201822444444444
Penguins of Madagascar,Family,DreamWorks Animation,132000000,373552094,241552094,92.0,en,6.5,2014-11-22,84.366984,High Profit,High Budget,2.829940106060606
The Bourne Ultimatum,Action,Universal Pictures,70000000,442824138,372824138,115.0,en,7.3,2007-08-03,45.381501,High Profit,Medium Budget,6.326059114285714
Kung Fu Panda,Adventure,DreamWorks Animation,130000000,631744560,501744560,90.0,en,6.9,2008-06-04,84.689648,High Profit,High Budget,4.859573538461539
Ant-Man,Science Fiction,Marvel Studios,130000000,519311965,389311965,117.0,en,7.0,2015-07-14,120.09361,High Profit,High Budget,3.9947074230769233
